V1,V8,V9,uid,Q2_1,Q3_1,Q4_1,Q6_1,Q7_1,Q5,Q1,Q8_1,Q9_1,Q10_1,Q11_1,Q12_1,Q13_1
R_3lPjiiQ8lHmsFn4,3/7/2016 13:24,3/7/2016 13:25,oD7a6GFkarvp84PRt,2,4,5,2,2,1,1,2,2,2,4,4,2
R_3npcvTQKRvVHclm,3/7/2016 14:01,3/7/2016 14:02,HzyJf3ecpepyFffL9,3,3,3,2,2,1,1,4,3,3,2,3,5
R_3OfsuU3hutsZ5QN,3/7/2016 14:00,3/7/2016 14:02,FK4Hu9RZqcpEHNEsT,2,5,5,4,1,1,1,1,1,2,4,4,1
R_1jU5wCIFAAVyLiH,3/7/2016 19:16,3/7/2016 19:18,ozofPi8aj5tyaT4eg,3,5,4,3,3,1,1,5,1,5,3,5,2
R_SNP8WkLYKzHfQK5,3/7/2016 20:02,3/7/2016 20:04,EK5MKqzgwbKp4H3b3,5,5,4,2,2,1,1,3,3,4,2,2,3
R_enyY01vCjB592h3,3/8/2016 0:22,3/8/2016 0:22,gouSf322Wfbff39Ry,1,5,5,1,1,1,1,1,1,2,4,3,2
R_cCnd8nVgdqDRq8N,3/8/2016 1:29,3/8/2016 1:31,rzgwdpdiJDSxYGZnA,2,4,3,2,2,1,1,2,1,2,4,2,2
R_1mLCW7uNx85T2KC,3/8/2016 9:52,3/8/2016 9:53,J4zEKsDmhBZRemQxx,3,5,5,1,1,1,1,2,2,4,4,4,2
R_29aBVfLU0ADKJ7e,3/8/2016 11:50,3/8/2016 11:52,nxAYw9WDEpZEActyW,2,3,2,5,5,1,1,5,4,5,4,4,5
R_1EKBUsgaKGy4iUV,3/8/2016 18:56,3/8/2016 19:00,7pCqtPS3WupS8an42,3,4,4,2,2,1,1,2,2,2,4,3,2
R_21zHpfpIUKKJdUC,3/8/2016 23:02,3/8/2016 23:04,wZbv3M3dFcDzAi36e,3,5,3,4,2,1,1,1,2,2,4,2,2
R_2tl1pkujGgQsFSm,3/9/2016 5:51,3/9/2016 5:52,XEFQSfMA4Np9cuPw7,2,2,1,4,4,1,1,4,1,4,4,4,3
R_2coO3nswvFNaxH3,3/9/2016 9:33,3/9/2016 9:34,z5RvEc5BoDxBiH3iy,4,5,5,2,2,1,1,4,2,4,2,4,2
R_2fj1cvNdlDq5ygI,3/9/2016 9:47,3/9/2016 9:48,qXjSPCjisfJ95eEvt,4,1,2,4,4,1,1,2,2,2,2,2,2
R_2RNW0h0mSnOkdoQ,3/9/2016 9:56,3/9/2016 9:57,zHSLFZ2ThvDD5HYzx,3,4,3,2,2,1,1,1,2,4,1,4,2
R_2xzrGYnxoYt6MHy,3/9/2016 10:09,3/9/2016 10:10,KhryLZQ5TvoZre7Wq,2,4,5,3,2,1,1,2,2,4,2,3,5
R_2wgABVI9PRSFJlo,3/9/2016 10:13,3/9/2016 10:14,BynvkWSwo2taRoXrX,3,3,3,4,4,1,1,4,2,5,4,4,1
R_26g0T51ZKljhPgf,3/9/2016 10:17,3/9/2016 10:18,SPtAAc7NJbzx6HGnv,3,5,5,3,2,1,1,3,3,4,3,5,1
R_3qfBFGhCX03vaWa,3/9/2016 11:11,3/9/2016 11:12,WWN5DFC5NTCBf5mzm,2,5,5,2,2,1,1,1,1,2,4,2,2
R_Oj5yY3oT16kNEFb,3/9/2016 11:40,3/9/2016 11:40,cLfpHqBMQyBqJmqZN,3,5,4,2,2,1,1,1,2,2,4,2,3
R_BDirEDsMKuFfi0N,3/9/2016 11:44,3/9/2016 11:45,ANpFmJSXtcMZLsKb7,3,4,3,2,2,1,1,3,2,2,4,4,2
R_1Cl4tN8nCPAvx7o,3/9/2016 12:13,3/9/2016 12:14,XXfq2mbXgiwoevAzb,5,5,4,2,2,1,1,3,3,5,1,2,2
R_SIDyzWQSHwuyFS9,3/9/2016 12:40,3/9/2016 12:41,CpCwPvRPuXbcP6cz2,3,4,3,3,2,1,1,2,2,3,4,2,4
R_3EQ1cxf4wz0teYy,3/9/2016 12:54,3/9/2016 12:55,kErKZoNcgLDEQLh9h,3,3,3,2,2,1,1,3,3,4,2,4,3
R_so2ysqyHDHbAq1X,3/9/2016 16:48,3/9/2016 16:48,RiaXcXZD8EMe3D675,2,2,3,5,4,1,1,1,1,2,5,2,1
R_1iaMVqfVRL0e1qQ,3/9/2016 17:21,3/9/2016 17:22,4KFh6N3nNwuJAz9bM,3,5,4,4,4,1,1,4,4,4,5,4,2
R_3IPR15q6sykCCiM,3/9/2016 18:27,3/9/2016 18:27,Zni6Soax4z3GW8Df2,5,2,2,4,4,1,1,2,2,4,2,2,3
R_1M01F0pkuJ5xmnk,3/9/2016 20:30,3/9/2016 20:31,MLNEv85tZLCBBPkBJ,3,2,1,4,4,1,1,2,2,4,4,3,3
R_2DOcfHL4ruzFJtg,3/9/2016 21:12,3/9/2016 21:13,RRGteZxa2sZLjy7tF,3,3,3,2,2,1,1,2,2,3,2,3,3
R_1ie36NbKcRO5AgI,3/9/2016 21:56,3/9/2016 21:58,eBK9ZbEMsYZr4qvN5,3,4,3,3,3,1,1,3,3,3,5,4,3
R_3MmvT3XhMo92WOy,3/9/2016 22:44,3/9/2016 22:46,GBR5Ti7uHcvswPGew,2,5,4,2,1,1,1,2,1,2,4,5,2
R_R1ONYC8kjxKW3zr,3/10/2016 0:10,3/10/2016 0:11,wLGnCDxPy8oExZXAx,3,5,4,1,1,1,1,3,2,4,3,4,1
R_3MhyFfqJmIfTQht,3/10/2016 10:24,3/10/2016 10:25,u469QjCESYfQpGHJC,3,2,2,2,2,1,1,1,1,1,1,3,3
R_2Sc20CkiqUqLlFH,3/10/2016 10:31,3/10/2016 10:32,KM8aPtzLYKjy9Wd6r,4,4,3,3,2,1,1,2,2,3,2,4,3
R_eJvP4Pjw8745aNj,3/10/2016 13:19,3/10/2016 13:21,n57DFjukqiJmSHEDQ,2,2,2,3,2,1,1,2,1,2,5,4,1
R_CjnqVU2jJd3ZyTf,3/10/2016 15:34,3/10/2016 15:34,yqvi6AycizdfMW67J,3,3,3,3,3,1,1,3,3,3,3,3,3
R_3GCi1eQsd5k41UJ,3/10/2016 23:32,3/10/2016 23:33,TYLSC3JKidf2ijqLa,5,5,3,1,2,1,1,4,4,4,2,4,2
R_24q0W9okWU7d7GJ,3/11/2016 5:52,3/11/2016 5:53,SJfYbZhnHTBay5yyX,3,3,4,2,1,1,1,2,2,4,4,4,2
R_10BDUuOnEgp2GQV,3/11/2016 7:11,3/11/2016 7:12,KgZMYh23LzaJQn9xQ,2,3,3,2,2,1,1,2,2,2,4,4,2
R_0olclIBauIK40r7,3/11/2016 8:14,3/11/2016 8:16,7WepedTffMwj4827y,4,3,2,4,4,1,1,4,4,5,2,5,2
R_1mkMHu62EH4fMP7,3/11/2016 8:33,3/11/2016 8:34,L9LpdeQFGzvFngGYS,3,4,4,2,2,1,1,2,2,3,2,3,3
R_12oofjgFAHWKpnq,3/11/2016 10:35,3/11/2016 10:37,Af6EwezJnoFReEpua,2,1,1,5,5,1,1,1,2,5,5,5,2
R_2CcY9flsB7jkoYs,3/11/2016 10:42,3/11/2016 10:43,5eAZsM6sSPgLp2AGc,3,3,2,4,3,1,1,4,3,4,4,2,3
R_1FkoIxcTVzjsoSr,3/11/2016 11:06,3/11/2016 11:07,NvQHkQfCNThsLfjfy,4,4,4,2,2,1,1,2,2,4,2,2,4
R_3PTzLZtU0kmOTsh,3/11/2016 11:07,3/11/2016 11:07,k3GpWCr7PFT6C8hp7,3,5,3,3,3,1,1,1,2,3,3,2,3
R_25ydlNWX0ED1D5y,3/11/2016 11:22,3/11/2016 11:23,ShADd3RgtYRfwa2MZ,4,5,3,4,2,1,1,4,4,4,5,5,4
R_3kyWhlGElmkIx2x,3/11/2016 11:25,3/11/2016 11:26,vHTKf9kPuCEvY8Fb8,3,3,3,2,2,1,1,3,3,4,2,2,2
R_1giMIDtWqDsyqNZ,3/11/2016 11:28,3/11/2016 11:28,BNHYtgF3y6oE5Z7KQ,3,3,3,2,2,1,1,1,1,2,1,2,3
R_31KOVWog2rs8LI1,3/11/2016 12:04,3/11/2016 12:05,wGaSKjvm4o49LhLrg,3,2,2,2,2,1,1,2,2,2,5,4,2
R_VKg0s9dxxwdjmBb,3/11/2016 12:09,3/11/2016 12:10,7Rn59QWiRLMAcySTj,3,6,4,2,2,1,1,1,2,2,4,2,1
R_tXkTzCZ3FJJLuXn,3/11/2016 12:08,3/11/2016 12:10,oWHGBei3dY4SjyLpw,3,3,3,2,2,1,1,2,2,2,2,4,2
R_eQjHktJCyXauFR7,3/11/2016 12:16,3/11/2016 12:17,XsvK4NT3Nh5wjR8En,3,5,3,1,1,1,1,1,1,1,4,2,1
R_30vppim4EIPIcww,3/11/2016 12:40,3/11/2016 12:42,DE4yEJwaXQHEzKcQa,3,4,4,2,2,1,1,2,2,2,4,2,2
R_1hEkVGzxqexTrs7,3/11/2016 12:42,3/11/2016 12:43,bWNtxPkGd8xNqDf2H,2,5,4,2,1,1,1,2,2,2,4,3,2
R_saOUMEfQICJEdKF,3/11/2016 12:49,3/11/2016 12:50,5myTGNQJvs2WKRHzh,2,5,5,1,1,1,1,3,3,2,5,2,2
R_2vjqHOgXQpEvvGi,3/11/2016 12:59,3/11/2016 12:59,TRHpDyjtFJ4Bf98dL,2,1,3,2,3,1,1,2,2,3,2,1,2
R_21GvpBOmWMZw6r2,3/11/2016 13:17,3/11/2016 13:18,udy3MprwBQ5HiyMCT,3,5,5,3,4,1,1,1,1,2,4,3,2
R_12F3vi04OMrs3yH,3/11/2016 14:02,3/11/2016 14:03,LcANkd9aNJ5k5m36D,4,3,2,2,2,1,1,4,5,4,5,4,2
R_3KK5wJcm1br9gTi,3/11/2016 16:14,3/11/2016 16:14,pJmeMQeWgG5t6W9qP,2,5,5,2,1,1,1,1,1,2,5,2,1
R_1Igb8oY38w79KOC,3/11/2016 16:18,3/11/2016 16:19,JzmhwhLyzer2RAe6v,2,2,1,4,4,1,1,2,2,3,5,4,1
R_qxUOw78FNOE8nOp,3/11/2016 16:30,3/11/2016 16:31,btruDZRTdLHpSMw8Z,2,5,5,2,2,1,1,1,1,2,4,2,3
R_25Gdwlo0JThAUCc,3/11/2016 16:50,3/11/2016 16:51,65rkkh9mvCWJswXdW,3,4,3,2,2,1,1,2,2,4,3,4,2
R_3J2HcbZE54tKUHM,3/11/2016 18:56,3/11/2016 18:57,eCXK2ArfS3criAJTB,3,5,3,2,3,1,1,2,2,4,4,3,2
R_1Km7LJc3DcH0YlA,3/11/2016 19:02,3/11/2016 19:03,46jJ5bQRXvenhFmTb,5,2,2,4,4,1,1,2,4,4,2,2,4
R_3M4gF0WhaUrsojq,3/11/2016 19:12,3/11/2016 19:13,JYCXAYdtPkWscrdLB,3,5,5,2,2,1,1,2,2,4,2,4,2
R_VOsxVmU16aSE5Xj,3/11/2016 19:26,3/11/2016 19:27,e3qn8csAYTbHfMxkK,3,2,2,3,2,1,1,1,2,4,5,2,4
R_3lW91DGVzDcemf0,3/11/2016 19:28,3/11/2016 19:29,47GQnCY9tKY6QcziM,3,1,1,4,4,1,1,1,1,4,4,2,4
R_qJBUcdRPibnfndT,3/11/2016 20:04,3/11/2016 20:05,sffrXtuXr5TiAB4mp,3,4,3,3,2,1,1,2,2,3,2,2,3
R_2zNoDngp4XLTdbO,3/11/2016 20:19,3/11/2016 20:20,w7iHdtHuvS62tpX9A,2,4,2,2,2,1,1,1,1,4,5,2,4
R_3QRZDAFnZh18xQT,3/11/2016 20:20,3/11/2016 20:21,JSbt6gZfMo7joBzGv,3,3,2,2,2,1,1,2,2,4,2,4,3
R_2YWgtnShrEZql7y,3/11/2016 20:29,3/11/2016 20:30,r7ouGiTYscdMz7S96,5,2,1,4,4,1,1,1,2,4,2,1,3
R_6xlfyq8KTDxOSxr,3/11/2016 21:23,3/11/2016 21:24,tDQkgwFiLneeqykeP,4,4,3,2,2,1,1,2,1,4,4,2,2
R_3CCuscDaJ4n8Zlb,3/11/2016 21:29,3/11/2016 21:30,yqM2BRFq8ZRfjjLkq,4,2,2,3,3,1,1,5,4,5,2,5,2
R_231aJGFVTUigAW5,3/11/2016 21:38,3/11/2016 21:39,L4ym7sk99zbs7SpRS,3,4,4,2,2,1,1,2,3,4,2,2,3
R_2zc3YWuCClRQx69,3/11/2016 21:39,3/11/2016 21:40,uaKgcq3eKvpoHhiRp,4,3,3,2,1,1,1,3,2,4,4,4,2
R_3rHrLWmzOITEfuf,3/11/2016 22:40,3/11/2016 22:42,DJkv5Fv9S4kWNyB3h,3,3,1,3,2,1,1,2,1,4,2,4,2
R_2uvM17Q5cVMCgcF,3/11/2016 23:21,3/11/2016 23:22,8LxJGcCiZ4Qc6jQuJ,4,2,1,3,4,1,1,4,4,5,2,4,2
R_1ok8o1TISOdsKXS,3/11/2016 23:28,3/11/2016 23:29,Qqh6muXhTuf3GrNiT,3,4,3,2,2,1,1,2,1,2,2,2,2
R_3ISSplcPL3t89gt,3/11/2016 23:35,3/11/2016 23:36,2uka6dm2y2BiZJ2zv,2,5,4,2,2,1,1,3,2,4,4,3,2
R_Zl2LPahJ97VAK9r,3/12/2016 1:00,3/12/2016 1:01,cSZYtAZP8JYGj5YJm,3,4,4,2,1,1,1,2,2,3,4,2,2
R_rpxd8ljxiL2TBC1,3/12/2016 1:20,3/12/2016 1:20,uSMjBeZWWWbr389eX,2,5,4,2,1,1,1,1,1,1,4,2,1
R_3ffsOGXs5Gj0DAd,3/12/2016 4:04,3/12/2016 4:05,e39vqG226v3BajR5r,3,2,4,2,2,1,1,2,1,4,4,2,2
R_10CPZLuv40aU7h0,3/12/2016 6:54,3/12/2016 6:54,9ywHQR3mBPMwFxoz9,4,3,4,2,1,1,1,1,2,4,4,2,2
R_2znLbutItrDIL1j,3/12/2016 7:47,3/12/2016 7:48,CBqTRZWRzXAgfN9Yy,5,5,5,2,2,1,1,3,2,4,2,2,4
R_pzT582QsnUum1yx,3/12/2016 8:22,3/12/2016 8:23,E3NcHz7W573rHYeyY,4,5,5,3,2,1,1,5,5,5,5,1,1
R_vkjSlsvbp33FqeZ,3/12/2016 11:18,3/12/2016 11:19,AQxTawn2raLNgqZ3P,3,5,3,1,1,1,1,2,2,4,3,4,3
R_2qdR6TzLw9aMZGr,3/12/2016 11:20,3/12/2016 11:21,ZNHoLFfThXn3dxpiE,2,5,4,1,1,1,1,4,1,2,5,5,1
R_1eVN7yfmTE5EH6S,3/12/2016 11:52,3/12/2016 11:53,Ny9gao85Xj9EsukBG,3,5,3,1,1,1,1,2,1,4,5,5,1
R_1OuTA2RrJpWqO6D,3/12/2016 12:22,3/12/2016 12:25,EKWRiN76o86oB7anS,2,4,3,2,2,1,1,2,2,2,4,2,3
R_tXxDax4ekJHqNSV,3/12/2016 12:50,3/12/2016 12:51,8nBmn9tiXEPEpabJq,5,1,1,5,5,1,1,3,3,5,3,1,3
R_7PA74idDNbgYzWV,3/12/2016 16:05,3/12/2016 16:06,veJrsxDb3LXrES4xG,4,3,4,2,3,1,1,1,1,4,3,1,1
R_3RxYyxDXIeZFAFK,3/12/2016 17:23,3/12/2016 17:25,KtmBDbHyRWmxF3pSe,3,5,3,2,2,1,1,1,2,2,4,2,3
R_uvNvmJJmybfhma5,3/12/2016 17:49,3/12/2016 17:51,sXZRJJZZ4ukn5Rhsa,3,3,2,3,2,1,1,3,3,4,2,3,5
R_2sZJbuA59pFOJuH,3/12/2016 20:51,3/12/2016 20:52,P3KQ9YkjZxt4RLM8n,3,5,4,2,2,1,1,2,2,2,3,2,3
R_2R9TC7kAW0f0qO9,3/13/2016 1:33,3/13/2016 1:33,q7T5qjCJmLKiFDM7B,2,5,5,2,3,1,1,2,1,2,4,3,3
R_OroChyd26RoCjAt,3/13/2016 14:32,3/13/2016 14:33,sRnsZm6AXGfuFXaBL,5,1,1,3,5,1,1,3,3,5,1,5,1
R_2DV5zZfEiVwJARH,3/13/2016 18:58,3/13/2016 18:58,qSx3DCWftYj2wsCyv,5,3,4,4,2,1,1,4,3,4,2,2,4
R_2bGdPOp541C0LfP,3/14/2016 14:13,3/14/2016 14:14,Wsfum3agWhXQX8CXx,2,5,5,2,2,1,1,4,2,4,4,4,2
R_3ReYrUOKRq8jmIt,3/14/2016 15:17,3/14/2016 15:22,naXyBAkcHQnvmWAq2,4,3,3,3,2,1,1,3,2,3,2,3,3
R_tRpkXr4RiKrazxD,3/14/2016 21:44,3/14/2016 21:45,NEBKBc4v4z22JjHsM,3,5,5,3,1,1,1,3,1,4,4,4,1
R_5Aue8G8jKv3ApIl,3/15/2016 8:57,3/15/2016 9:04,XjQr98bXFF7M3ndcy,4,1,1,5,5,1,1,3,2,5,5,2,3
R_u9SWHqAGzUGr6Ux,3/15/2016 14:39,3/15/2016 14:39,9et3SfHGXPybDEQvA,4,3,2,4,2,1,1,2,2,3,1,2,3
R_T5umzoUVH5SasxP,3/15/2016 18:20,3/15/2016 18:22,MYDbh5c4b3ziMKmbt,3,4,3,2,4,1,1,2,2,2,2,2,2
R_32OV2wD4505bUMQ,3/15/2016 19:25,3/15/2016 19:27,YtSdEqNJzaQeCopij,3,5,4,2,2,1,1,2,3,3,4,3,3
R_3GBsFpaybgovz2V,3/16/2016 3:33,3/16/2016 3:33,dC92XDi5WvMMhu33h,5,5,5,2,2,1,1,4,4,3,2,4,2
R_2vZY5J1BWoreCya,3/16/2016 7:43,3/16/2016 7:44,TmShwF9bwp277DCmb,3,5,4,2,2,1,1,3,2,2,4,3,2
R_2ceIyTRCSzPGYNe,3/16/2016 11:33,3/16/2016 11:34,qifugRh7PhFJPpCmX,3,2,1,2,2,1,1,2,4,4,2,4,2
R_3EsQWYJEQQ9Du0N,3/16/2016 17:56,3/16/2016 17:58,DjhvjjCAx4ASj2o8R,3,3,3,3,4,1,1,4,2,4,2,3,2
