uid,V1,V8,V9,Q2_1,Q3_1,Q4_1,Q6_1,Q7_1,Q8_1,Q9_1,Q10_1,Q11_1,Q12_1,Q13_1
Xyy2u4fX5w8ZXBK3y,R_1jeUHR1UBkBrf80,2/15/16 17:03,2/15/16 17:05,4,5,4,2,2,4,4,4,4,5,2
PxZYxaGdJhcnoWWsT,R_1BOXDuD5NrI8Guc,2/15/16 17:31,2/15/16 17:34,3,4,2,3,2,1,1,1,5,3,1
qHfPbdZH5ooEhRGj5,R_3pneeVdJlcO9TUO,2/15/16 21:06,2/15/16 21:08,5,4,3,4,3,2,4,3,2,2,3
nXMXFzpgTi4qgwWK6,R_1pFfo8Yfsg4qV63,2/15/16 21:06,2/15/16 21:08,3,5,5,1,2,3,1,1,1,2,2
idBwv2cHpmaynrZhD,R_blx6Xnozk0A14v7,2/15/16 21:08,2/15/16 21:10,3,4,1,4,4,2,2,4,2,2,4
iw4jvD5va5fnWukXC,R_22tu9FHPJkMO33v,2/15/16 21:40,2/15/16 21:42,3,3,4,3,2,2,1,3,4,2,3
bvQKD5bRjLyvwCpPy,R_22zAiBvx0EcQ3iy,2/15/16 23:03,2/15/16 23:04,3,5,3,3,3,2,2,2,5,2,3
nTjB9cbr4ip2uXa8g,R_1KjuW2J10uuOy7q,2/16/16 11:09,2/16/16 11:10,4,3,2,3,2,4,3,4,1,2,3
ufYSbrs2puEYHomhr,R_82MTJfqJFtHPqUx,2/16/16 13:24,2/16/16 13:27,5,2,3,5,5,4,3,5,1,4,3
iNRN7ctrXkwmZQSxt,R_Ug6IYZ34u5mNA4h,2/16/16 14:34,2/16/16 14:35,3,5,4,2,2,4,3,4,4,4,2
i8NjyEXvuMDxg5nGL,R_2wbNzZmOCM9S97S,2/16/16 14:58,2/16/16 14:59,4,5,4,4,3,4,3,4,2,4,1
qf7G2up2hE5qScuK9,R_WCgyiAPVW9yI5HP,2/16/16 14:58,2/16/16 15:00,3,3,2,4,4,4,4,4,2,4,2
Wxu8k7df9yj4j6573,R_26lkrwDAPPYNR7t,2/16/16 17:44,2/16/16 17:46,2,3,3,2,1,1,1,1,4,3,2
8rkTWSowd8QnKYkrE,R_2BajyzWYtAn4W7l,2/16/16 19:10,2/16/16 19:12,5,2,2,2,2,1,1,4,4,2,4
m3PpL6WcoykRyE6pm,R_3JxXi33jQWWZ6q0,2/16/16 21:11,2/16/16 21:12,3,4,4,1,2,1,1,3,2,2,3
c7KXKPxqoFftvbiRo,R_3rHy3E78hTNbFpe,2/17/16 11:38,2/17/16 11:40,2,1,1,4,4,1,1,3,4,2,1
nyhJYddWvp3BB3QQw,R_1LFsFjEe9N0OpS1,2/17/16 18:24,2/17/16 18:26,2,4,5,4,2,2,2,2,4,4,1
Go273GW8uicZrCdSD,R_Tcp9Mgx2225Defv,2/17/16 20:49,2/17/16 20:50,5,5,4,3,3,1,1,4,2,2,3
WxM5cQu2SaeRc9e8S,R_1rk9k67hh7U0xgb,2/18/16 0:33,2/18/16 0:34,2,3,3,2,2,2,1,1,4,3,1
Yq2tfTdFxrtJJrtiK,R_2us4diO56Kms1Bd,2/18/16 10:55,2/18/16 10:56,3,1,1,2,2,1,1,4,5,3,5
nn9r35Fnm3dt4Mwac,R_1Keib6i9v2gnDWG,2/18/16 11:54,2/18/16 11:55,3,1,1,5,5,2,3,5,3,5,1
MxvzFzxhex6KtCcJv,R_tXnPdNI7rfIplrr,2/18/16 11:55,2/18/16 12:11,3,2,2,2,2,2,3,4,3,4,2
B2ZCZF78M52DaYdRe,R_1FblKDme1v6zJY4,2/18/16 14:57,2/18/16 14:59,4,5,4,2,2,1,1,2,1,2,3
qBC3M3KQn9vNCcPqE,R_1eJeagMu1fGCYiL,2/18/16 16:00,2/18/16 16:00,5,5,5,4,4,4,1,1,5,5,5
q4HPxfuFegecSLdDp,R_3qPRo7eNdlI36sD,2/18/16 16:20,2/18/16 16:24,4,5,4,1,1,3,3,4,4,4,1
yZoeMgzGtaMeqaFnP,R_21jl2etKmZKdpar,2/18/16 17:12,2/18/16 17:13,3,4,3,4,2,4,2,2,4,4,2
R7dYKeoHCd6LvxxqK,R_3TXRd6w1IF55muJ,2/18/16 18:12,2/18/16 18:13,4,4,4,4,2,2,2,4,1,4,2
rwmxw6YBuepteyj3w,R_24wtQ6IZFO6BGsH,2/18/16 19:53,2/18/16 19:55,4,2,3,5,5,4,1,5,5,3,2
2EaSSMTDRTavgzxWY,R_1FcN9DqQZQ1eT0l,2/18/16 19:59,2/18/16 20:01,4,3,3,2,3,2,3,3,4,3,3
79cjqjh3rhGT85Z35,R_114rhYVYJepCwGL,2/20/16 20:33,2/20/16 20:35,3,4,3,2,4,2,1,2,5,4,2
wtSLbuDzbcFjvfDEf,R_ZdvLS2aUMRZzzYB,2/21/16 1:20,2/21/16 1:24,5,2,1,2,2,2,1,4,2,2,4
tyLjuwcbAbuazEQiG,R_silH4ti0SsIA8eJ,2/21/16 4:36,2/21/16 4:37,4,1,1,5,5,5,1,5,1,5,1
u469QjCESYfQpGHJC,R_2CEamDf41Nhi8RZ,2/21/16 9:39,2/21/16 9:40,4,2,1,4,4,3,3,2,5,3,2
SoKJoq72nqsZeYAav,R_22qWoiTyP3lkY50,2/21/16 9:57,2/21/16 9:58,4,2,2,3,3,1,2,3,4,2,3
EsvySo9AtybDSYAs8,R_2fs0NEikYNu0fVi,2/21/16 10:58,2/21/16 10:58,3,5,4,4,2,4,4,4,2,2,2
JRcAvo7ghDwhDZL84,R_3HFzbGxbAVyVzb6,2/22/16 11:57,2/22/16 11:58,4,5,5,5,5,3,5,5,3,5,1
MrGZ6mh63fudmqYDf,R_pM2xRq9id1N48lb,2/22/16 15:38,2/22/16 15:40,5,2,2,2,2,2,2,4,2,2,3
Lcmknpky6pFHN3tQu,R_23LHBPpFGJSSyUF,2/23/16 8:51,2/23/16 8:52,3,2,2,4,4,2,2,2,3,3,2
5bASBojyYxYwsQXxd,R_3a33jqM2c8fnt6N,2/23/16 14:16,2/23/16 14:18,3,6,3,3,2,2,1,3,4,3,2
YtSdEqNJzaQeCopij,R_22wUTeDOPszJx0T,2/23/16 14:19,2/23/16 14:20,5,3,3,2,2,2,3,3,4,3,3
6SEWxX7BWwdBNKtgP,R_29dpeq39K0v7r36,2/23/16 14:32,2/23/16 14:36,5,5,5,3,2,4,2,4,3,3,2
AqpMTK8pfa3ZDgCnX,R_3FR35q43kMqrwsi,2/23/16 14:39,2/23/16 15:02,2,1,2,3,3,2,2,4,4,3,2
CLtNCJghz2jZqxeK9,R_W8U7LPlLWNROwKd,2/23/16 15:06,2/23/16 15:07,4,3,2,4,4,2,4,4,2,1,1
MyrQHPY3F4WLXmc5X,R_1gvDYcUVVdlnej7,2/23/16 15:17,2/23/16 15:18,3,5,4,4,3,1,2,2,4,2,2
z3zTMtRhkLDei8wuP,R_3lEcBgdDelqPtrj,2/24/16 10:57,2/24/16 10:58,4,1,1,5,3,3,3,3,3,3,3
YGJd65DmqYzQazNgB,R_6MqQb2LWXu2DEEp,2/24/16 19:10,2/24/16 19:11,4,3,2,4,4,1,3,5,4,1,4
fhuLXXHqMQ5d8rDAn,R_2X6AC1LLxmg6aKH,2/25/16 14:10,2/25/16 14:11,5,3,3,4,4,2,2,4,2,3,4
QmvwaSmSW9vegKCLm,R_22VoFW2TtebE4JY,2/26/16 2:56,2/26/16 2:58,5,4,2,2,2,5,3,3,5,3,4
u4ij2RsfoD2QLvBEb,R_3k2AYiNK41oJQiJ,2/26/16 14:00,2/26/16 14:02,3,5,4,3,2,2,2,2,5,4,3
AwhQeCLDxEyvjTy3X,R_Ug9ZksyAQENldYJ,2/27/16 22:18,2/27/16 22:19,3,1,1,3,3,4,3,4,4,5,1
43rAun7MweDZDbiR5,R_2f9fHQyFLoEdHRz,2/28/16 2:47,2/28/16 2:48,6,6,6,5,5,5,5,5,5,5,5
YM8venxunpNq9B2xq,R_2aK2Vwn4LJbLP8P,2/28/16 4:15,2/28/16 4:16,5,2,1,5,5,2,2,5,3,3,3
no24mX6RndnhrbK2G,R_25Mx4TkI6p7l5Ht,2/28/16 13:34,2/28/16 13:35,4,4,4,3,3,2,2,3,2,2,2
bgy5jAMHTgznc4ux5,R_RrEggI4xtn4GOMp,2/28/16 13:56,2/28/16 13:57,2,5,5,1,1,3,3,2,2,3,5
Bpj4sGSnkFdkCCxNf,R_2E5WdH6y0uZU9AI,2/28/16 15:01,2/28/16 15:03,4,4,3,2,2,1,3,3,3,2,2
ptvCG2FEvcGE6NwA6,R_2A1lK7km7S0XeLy,2/29/16 1:44,2/29/16 1:44,2,2,1,2,2,1,2,2,1,2,2
mMzbDo23w5dTrdSEk,R_3esiNy6SKbSeze5,2/29/16 8:42,2/29/16 8:43,2,5,5,2,1,2,2,2,2,2,3
b3JmtzQJQgAcnZnYE,R_2tx59G74OB4M6QN,2/29/16 9:39,2/29/16 9:40,3,5,4,2,2,1,1,2,2,4,4
6A43r9ZERAEEDbZ8E,R_3soxJjQY2V9K6H3,2/29/16 9:42,2/29/16 9:43,3,5,4,3,2,4,4,4,2,4,1
XAgek4Txgcr6zNhkX,R_1r167Eygja1XDOh,2/29/16 9:51,2/29/16 9:53,3,2,3,3,3,2,2,3,1,2,3
dBkvJWWnppXkwvRnw,R_2RUENpGv7Qg87Wz,2/29/16 11:37,2/29/16 11:39,5,2,2,4,4,3,4,3,4,4,1
2HF6FqEczphrX2Bid,R_3p2KOPjMBlH3Oxw,2/29/16 13:22,2/29/16 13:23,3,3,2,3,3,2,2,3,4,2,3
XgZraYjGuDarzP3r7,R_1op99Z34ymK0PPT,2/29/16 18:06,2/29/16 18:07,3,1,1,3,3,4,3,4,4,2,2
PqWLTxemD9c69esfF,R_31bg6enYsTJPzm7,2/29/16 18:26,2/29/16 18:27,2,5,3,4,4,2,2,2,5,4,1
za7LyLyEjai9LEXHc,R_1N9VAkpJTFHYQc2,3/1/16 1:41,3/1/16 1:42,5,3,3,4,2,2,2,3,2,2,4
PmfEWQEeSM8RQm9sL,R_3EyhROHMYqEkmVK,3/1/16 4:26,3/1/16 4:28,5,1,1,3,3,2,4,4,2,3,1
wZbv3M3dFcDzAi36e,R_31cIWowODZ7dNlj,3/1/16 5:45,3/1/16 5:46,4,5,3,3,2,2,2,3,4,2,2
LpifnQpyoAC96S573,R_3koeOesAD2JLslH,3/1/16 9:33,3/1/16 9:35,3,5,4,3,2,3,4,4,5,5,1
pnco6QuR9SNdHu77x,R_2ARMu8DiwRgK4c4,3/1/16 10:06,3/1/16 10:07,5,3,2,3,3,2,2,4,5,2,3
NLM74X7BawyDFny4v,R_1rCbkZBg5HSDiYJ,3/1/16 11:15,3/1/16 11:16,3,4,3,4,3,2,4,4,2,3,2
DyGdnuktRvCnzAwJi,R_2qfojXlf2n8nCog,3/1/16 11:36,3/1/16 11:37,4,2,2,4,3,4,3,5,4,5,1
xnnYT3aWf6eE4Q6y9,R_2dQEr07waH7NbA0,3/1/16 11:32,3/1/16 12:01,2,5,5,1,1,2,1,3,2,2,3
XCDm5KKWWLKo82ig8,R_1doFWjWMPuuMqRR,3/1/16 12:18,3/1/16 12:19,2,3,2,2,2,2,2,2,4,4,2
usYEPKufrajuNF47i,R_2z8v00NerZj8Qw2,3/1/16 13:25,3/1/16 13:26,4,3,4,2,2,3,3,3,3,3,1
K3ZMCWFyEZDHrTyJs,R_2ASDe1OYz6hhsmZ,3/1/16 15:45,3/1/16 15:47,3,2,2,2,3,4,3,3,4,3,2
8RWtRBznZwaQXtTjy,R_s5vNognqZz2gm1X,3/1/16 17:30,3/1/16 17:32,3,5,5,4,3,2,2,2,4,3,4
9n5EpvJB2WfCAocg2,R_2ePhiriF4BFfbHR,3/1/16 17:33,3/1/16 17:35,2,4,3,3,4,4,4,4,4,3,2
7pCqtPS3WupS8an42,R_3D1O1D2bSaTnI26,3/1/16 18:14,3/1/16 18:18,2,4,3,4,4,1,2,2,3,3,3
HzyJf3ecpepyFffL9,R_2uHERl5GPUWXo5g,3/1/16 18:56,3/1/16 18:58,3,2,3,2,2,2,4,3,2,3,5
TYLSC3JKidf2ijqLa,R_1OJjndodu4A5CaT,3/1/16 23:24,3/1/16 23:25,4,5,3,3,3,5,5,5,2,5,3
RMo96PZASrs7J7ShD,R_3pu7ts2iazScIhn,3/2/16 4:55,3/2/16 4:56,3,2,2,3,2,2,3,3,4,4,2
zr6MbzW9igA4q3Bpk,R_1etvMuatDmLCs3v,3/2/16 6:27,3/2/16 6:30,5,2,1,4,2,1,4,4,2,3,4
8AFCu9YsQmR2WDkrk,R_2YzkBbm9iMJh9vM,3/2/16 10:22,3/2/16 10:23,4,3,3,3,3,2,2,3,2,4,3
FK4Hu9RZqcpEHNEsT,R_1gvaVjIJxtO35jT,3/2/16 14:58,3/2/16 15:01,2,5,5,4,1,1,1,2,5,4,1
kzsfFDBTiA8Hm5zG8,R_1QgB2XPfoT0mKmy,3/2/16 20:15,3/2/16 20:17,3,4,4,2,2,1,1,2,4,2,2
zBGtTaoT9NXXoiDCo,R_exGIiUftotOn2ZX,3/2/16 22:58,3/2/16 22:59,4,2,3,3,3,2,2,2,4,3,4
5FeAYE9ht2bBCK8Lk,R_ab14L8MXFPUAAFj,3/4/16 1:45,3/4/16 1:47,4,4,2,3,2,2,2,4,2,4,4
ppT2KoixinaKc9zLD,R_3fN8P5t8tpQuskr,3/4/16 1:54,3/4/16 1:56,5,1,1,2,3,2,2,2,4,2,2
J2cummHqPe6hMCzQa,R_ZjVZASAScvQgJQB,3/4/16 8:21,3/4/16 8:23,4,5,3,3,3,4,4,5,1,3,3
TmShwF9bwp277DCmb,R_1oFOq0Tu2qzVC86,3/4/16 12:40,3/4/16 12:42,5,5,4,2,1,2,3,4,4,2,4
XXfq2mbXgiwoevAzb,R_1dLXVU9M0sqEP3H,3/5/16 7:52,3/5/16 7:53,4,4,2,3,2,3,3,5,2,2,2
dnjt4zkQjoZRiipyw,R_3IRaEwKZrq21mIV,3/5/16 9:41,3/5/16 9:43,3,3,2,4,1,2,1,2,2,3,3
A4p7aBR98rJFBJaEL,R_bkkyvec25qavpWV,3/5/16 9:47,3/5/16 9:50,3,5,5,2,1,1,1,1,5,4,4
BefdwBcYMvaHfGgwn,R_3lXHfza4sWnl8qW,3/5/16 9:54,3/5/16 9:56,4,5,3,2,2,1,2,3,3,2,3
oD7a6GFkarvp84PRt,R_30hPiy71JWvaui0,3/5/16 10:37,3/5/16 10:40,2,3,4,2,2,2,2,2,5,2,2
trErkp8jGhzNAdEsC,R_2wnJXFxXAE2wjMe,3/5/16 23:15,3/5/16 23:16,3,4,3,2,2,2,2,4,3,3,5
fQW4FvoD7YJtY65Xj,R_af3nwBwxJKw3j0t,3/6/16 9:10,3/6/16 9:11,2,5,5,1,1,2,2,1,5,4,1
XjQr98bXFF7M3ndcy,R_tX3m53u2fTNEk5r,3/6/16 9:49,3/6/16 9:53,3,1,1,4,3,3,2,3,5,2,4
5TdrRvXeviEEB2782,R_3EbggeJXnRdirGW,3/6/16 9:57,3/6/16 9:58,3,4,3,3,2,2,2,2,4,3,2
ozofPi8aj5tyaT4eg,R_2sbCTFFwg2cHJxa,3/6/16 10:06,3/6/16 10:18,3,5,3,3,2,4,2,5,3,5,1
gouSf322Wfbff39Ry,R_2fwCzHLzc3vBEAE,3/6/16 10:46,3/6/16 10:47,2,4,4,2,2,2,2,2,4,3,2
zHSLFZ2ThvDD5HYzx,R_2D5hfNVRDJbqJGg,3/6/16 11:10,3/6/16 11:14,3,5,3,2,2,1,2,5,2,4,2
nxAYw9WDEpZEActyW,R_1jj4kmYhjZsOPed,3/6/16 13:43,3/6/16 13:45,3,2,2,4,4,3,4,4,4,4,1
sRnsZm6AXGfuFXaBL,R_YawopDbGKUvYI8x,3/6/16 14:08,3/6/16 14:08,5,1,1,3,3,5,5,5,1,5,1
EK5MKqzgwbKp4H3b3,R_ezzydMvwiysgY7L,3/6/16 19:05,3/6/16 19:06,5,5,4,2,2,4,4,4,2,3,2
qgdrKE9jGNxfQQS8Z,R_3iRu0P50zB2Z2IK,3/6/16 21:24,3/6/16 21:26,2,5,4,1,1,1,1,1,1,1,2
7WepedTffMwj4827y,R_1pSunXtH5JLodPD,3/6/16 21:27,3/6/16 21:29,5,2,3,4,4,5,3,5,1,5,2
qXjSPCjisfJ95eEvt,R_6mMsjtNxGvD89k5,3/6/16 22:00,3/6/16 22:01,5,1,1,4,3,2,2,4,2,2,2
rzgwdpdiJDSxYGZnA,R_en5oyouqFEkSilz,3/7/16 0:15,3/7/16 0:17,3,4,3,2,2,2,2,2,4,1,2
J4zEKsDmhBZRemQxx,R_2duSMFVhy3SRGEY,3/7/16 8:07,3/7/16 8:08,3,5,5,2,2,2,2,4,4,1,2
L4YKzb3s57NWd6NAv,R_2al5ALBgV7areIT,3/7/16 8:15,3/7/16 8:17,3,3,5,2,2,3,3,4,4,4,3
H4f5GuygEFHZk35Nx,R_1ovhmRZU2ss7Wpb,3/7/16 8:54,3/7/16 8:56,5,2,2,4,2,3,2,4,2,2,3
3Scv4Lh7AfesJPwhd,R_3D56G9p5xlCVUIV,3/7/16 11:05,3/7/16 11:07,2,6,4,2,2,2,2,2,4,2,1
eBK9ZbEMsYZr4qvN5,R_1nZqYuY96bt1on6,3/7/16 12:22,3/7/16 12:29,3,4,3,3,3,3,3,4,5,3,3
3JMeDjgsrTwoAgacu,R_3sAlM6qw6oKlWXY,3/7/16 12:53,3/7/16 12:53,4,3,3,3,2,2,2,4,3,2,2
KM8aPtzLYKjy9Wd6r,R_1rBvko9sc5VpA6a,3/7/16 14:52,3/7/16 14:54,4,4,3,3,2,3,2,4,2,3,3
BynvkWSwo2taRoXrX,R_1hWJPCuD9pPnMPK,3/7/16 15:25,3/7/16 15:27,2,3,3,3,3,4,2,5,4,4,1
Wsfum3agWhXQX8CXx,R_2v7mdvyphu0TLRz,3/7/16 17:38,3/7/16 17:39,2,5,4,3,3,4,2,2,4,3,2
wLGnCDxPy8oExZXAx,R_2TotfKfwmEBdEBw,3/7/16 18:07,3/7/16 18:09,3,5,5,1,1,3,2,5,3,4,2
Zni6Soax4z3GW8Df2,R_1isSil93B264Uu0,3/7/16 18:45,3/7/16 18:45,5,1,1,4,4,2,1,4,1,4,3
Q8rabz9pmuEnvSaoN,R_1I7dnwhw7YVsGKf,3/7/16 21:12,3/7/16 21:14,2,4,4,1,2,1,2,2,4,2,2
XEFQSfMA4Np9cuPw7,R_2eVdGRAR63vqtqX,3/8/16 0:51,3/8/16 0:52,3,2,2,4,3,3,1,5,4,4,3
db7vBSrm7682SAdgu,R_3HUhr9dw9y96W7j,3/8/16 2:38,3/8/16 2:39,2,1,1,5,5,2,3,2,5,3,3
qTogdieYhMcvruSAz,R_241ct1t6I68rOVI,3/8/16 9:33,3/8/16 9:34,4,5,4,3,2,4,3,5,4,2,1
z5RvEc5BoDxBiH3iy,R_cwho0OcAqUu4Qdr,3/8/16 9:35,3/8/16 9:36,3,4,4,2,1,4,1,4,2,4,2
kr7Pu2RZwAfTs2CKX,R_1cSNiiegNCtjds7,3/8/16 9:38,3/8/16 9:38,4,5,3,4,4,4,3,4,4,3,3
KhryLZQ5TvoZre7Wq,R_1mgWxZR06wLbeHW,3/8/16 9:42,3/8/16 9:42,3,3,4,3,2,1,1,4,2,2,5
ZB5o3tfWNxeqjrk9A,R_3scPGVogfgb3Axn,3/8/16 9:55,3/8/16 9:57,3,3,3,2,3,2,3,4,2,3,3
SPtAAc7NJbzx6HGnv,R_1C1sdq3oD64v3Tt,3/8/16 10:21,3/8/16 10:22,3,5,4,3,3,4,4,5,3,5,1
RiaXcXZD8EMe3D675,R_1rc4xoXLK655P6H,3/8/16 10:26,3/8/16 10:27,3,3,3,4,5,1,3,4,5,2,1
WWN5DFC5NTCBf5mzm,R_1gHJMSawjIJv5kG,3/8/16 10:40,3/8/16 10:42,2,4,5,1,1,2,1,2,4,2,3
cLfpHqBMQyBqJmqZN,R_1rIhgDSgeiJeTFM,3/8/16 10:41,3/8/16 10:42,3,5,4,3,2,1,1,2,4,2,3
kErKZoNcgLDEQLh9h,R_1BWsgPYnmFRZjW2,3/8/16 10:58,3/8/16 10:59,3,3,3,2,2,3,4,4,2,4,2
ANpFmJSXtcMZLsKb7,R_3DpvkyP1WnOwld9,3/8/16 11:09,3/8/16 11:10,4,4,3,2,2,3,2,2,4,4,2
RRGteZxa2sZLjy7tF,R_wWQRxAxZXbL6UV3,3/8/16 11:20,3/8/16 11:21,3,3,2,2,2,2,2,3,2,3,4
MWawPm7rihwQdSfEc,R_ZCzrZ2wnzKn9UZ3,3/8/16 11:49,3/8/16 11:50,5,3,3,3,2,1,1,5,2,2,3
CpCwPvRPuXbcP6cz2,R_3m4thtsCBgVg809,3/8/16 12:28,3/8/16 12:31,3,4,2,2,2,2,2,4,3,2,4
wGaSKjvm4o49LhLrg,R_1CvvgZdtsFUA28r,3/8/16 12:47,3/8/16 12:48,3,3,3,4,2,2,2,2,5,4,2
4KFh6N3nNwuJAz9bM,R_2QDPkn42TuE9RvZ,3/8/16 14:52,3/8/16 15:06,2,5,4,4,4,5,2,4,5,5,3
2EXM3D2Y33A7MB3o7,R_1LIGILzJ2LfSkru,3/8/16 15:14,3/8/16 15:16,1,5,2,3,3,2,1,3,5,4,1
xPohAATJY45H5Nmhy,R_2lgKXnxCWGFRDiN,3/8/16 16:09,3/8/16 16:10,2,1,1,3,4,2,2,4,4,3,2
MLNEv85tZLCBBPkBJ,R_2ZEnw0gREY9b2Bp,3/8/16 17:23,3/8/16 17:24,4,1,1,5,5,3,3,4,4,5,2
yqvi6AycizdfMW67J,R_2fjR13KmWKi9m1x,3/8/16 17:25,3/8/16 17:26,3,3,3,3,3,3,3,3,3,3,3
GBR5Ti7uHcvswPGew,R_cMkQjmx13MZuaRP,3/8/16 18:51,3/8/16 18:53,3,5,4,1,1,1,1,2,5,4,1
MXzThn8PokRb4ock5,R_5sFPemW83mMSxHD,3/8/16 22:00,3/8/16 22:04,4,3,3,3,2,2,2,2,3,3,4
2sTmttj6NkHQFsJLd,R_1l0gXRE11aTlVwO,3/9/16 0:07,3/9/16 0:09,3,2,1,5,4,2,3,4,1,4,2
smxtCGqQDdoxSBHnM,R_OJOBkAiuj597LBD,3/9/16 3:58,3/9/16 3:59,2,4,4,2,2,2,2,2,3,2,2
xM423TEd4E3xpgssf,R_2154VbVfbWbCKly,3/9/16 5:06,3/9/16 5:07,2,4,3,2,4,2,2,2,4,3,2
JJ5EnHryZ8c2oGQCB,R_56YfSD1epNG6Gxr,3/9/16 8:33,3/9/16 8:34,2,5,5,2,2,4,2,3,2,2,1
n57DFjukqiJmSHEDQ,R_3m9b58EaaE9CMQM,3/9/16 11:12,3/9/16 11:13,2,1,1,3,3,1,1,1,5,3,1
DjhvjjCAx4ASj2o8R,R_1JIrmcPKkrcfTbY,3/9/16 17:20,3/9/16 17:21,3,2,2,3,3,2,2,2,3,2,3
zsJhRyaRoAYMth497,R_1NkXx3p1CoVXI2g,3/9/16 19:01,3/9/16 19:02,3,2,2,4,4,4,4,4,3,2,3
SJfYbZhnHTBay5yyX,R_3OrBABFgZDenTL5,3/9/16 20:38,3/9/16 20:39,3,4,4,2,1,2,4,2,4,4,2
L9LpdeQFGzvFngGYS,R_b2X51vwJDZwC6Ah,3/9/16 21:27,3/9/16 21:28,3,5,3,4,3,2,2,3,2,4,4
qifugRh7PhFJPpCmX,R_3MfLByWVZTzF0vL,3/10/16 0:23,3/10/16 0:24,3,5,3,2,2,3,3,4,4,5,2
cWth44wpGS4qP2Yub,R_T7dkqNeB86bH5lf,3/10/16 1:15,3/10/16 1:16,4,2,3,4,2,3,3,2,2,3,1
uHwSGkE8yothku3Pp,R_3scWQRLhYonZapj,3/10/16 2:57,3/10/16 2:58,4,5,5,3,3,5,4,5,4,5,3
cSZYtAZP8JYGj5YJm,R_yUYNnm5ANHokzJv,3/10/16 9:39,3/10/16 9:40,3,2,3,3,2,2,3,4,4,2,2
TRHpDyjtFJ4Bf98dL,R_XNVPf82omuHXBFT,3/10/16 9:48,3/10/16 9:49,2,2,2,2,3,2,1,2,3,2,3
KgZMYh23LzaJQn9xQ,R_2qsJkzEHsUEVjR6,3/10/16 9:50,3/10/16 9:51,2,2,3,3,3,2,3,2,4,4,2
7Rn59QWiRLMAcySTj,R_2Yfax1NwT6l8jmY,3/10/16 9:51,3/10/16 9:52,3,4,4,2,1,2,1,2,3,2,1
vHTKf9kPuCEvY8Fb8,R_3k6BeCGSSV7WUpD,3/10/16 9:53,3/10/16 9:53,3,3,4,2,2,2,2,3,2,2,2
XsvK4NT3Nh5wjR8En,R_3QMGEAsHKFdOIjv,3/10/16 9:54,3/10/16 9:56,3,5,4,1,1,1,1,1,4,3,1
oWHGBei3dY4SjyLpw,R_QicK9VQrOroahtT,3/10/16 9:56,3/10/16 9:57,3,3,3,4,4,2,2,4,2,2,2
ZNHoLFfThXn3dxpiE,R_2R4VFWE5Of0tGoj,3/10/16 9:57,3/10/16 9:58,2,5,4,1,1,2,1,1,4,5,1
NvQHkQfCNThsLfjfy,R_3KUwGHgvDH3IOnk,3/10/16 9:58,3/10/16 9:59,4,4,3,2,2,2,1,4,2,2,4
E3NcHz7W573rHYeyY,R_2uPyQB6X9aWAsT9,3/10/16 10:02,3/10/16 10:03,4,5,3,2,2,5,5,5,5,2,1
bWNtxPkGd8xNqDf2H,R_3niQpn0sX6uPWt0,3/10/16 10:06,3/10/16 10:07,2,5,3,2,1,3,2,2,3,3,2
