uid,V1,V8,V9,Q2_1,Q3_1,Q4_1,Q6_1,Q7_1,Q8_1,Q9_1,Q10_1,Q11_1,Q12_1,Q13_1
PxZYxaGdJhcnoWWsT,R_2YKhT2lhBwyN68R,2/15/16 17:44,2/15/16 17:45,3,4,2,3,2,1,1,1,5,5,1
nXMXFzpgTi4qgwWK6,R_XiIRRrp9vDAFbwd,2/15/16 21:19,2/15/16 21:21,2,5,5,1,2,2,1,1,1,2,2
idBwv2cHpmaynrZhD,R_1CINUESh35MEJLE,2/15/16 21:22,2/15/16 21:23,3,5,4,2,2,2,2,4,2,4,4
qHfPbdZH5ooEhRGj5,R_3KIn9Ex8Fcbc23u,2/15/16 21:27,2/15/16 21:28,5,4,3,4,3,3,3,3,3,3,3
iw4jvD5va5fnWukXC,R_1JLbnPcWxY19kwm,2/15/16 21:54,2/15/16 21:55,3,3,4,3,3,2,2,1,4,2,3
bvQKD5bRjLyvwCpPy,R_1QlOZCmVQ8Gm6QH,2/15/16 23:12,2/15/16 23:14,3,4,3,3,3,2,2,2,5,2,3
nTjB9cbr4ip2uXa8g,R_2riIaXALd0dy871,2/16/16 11:17,2/16/16 11:17,4,3,2,3,2,4,3,4,2,3,4
ufYSbrs2puEYHomhr,R_1dbhPzgML0Q7wTJ,2/16/16 13:41,2/16/16 13:42,5,3,3,5,4,4,3,5,1,4,4
iNRN7ctrXkwmZQSxt,R_Qc75oDQRG3WL85P,2/16/16 14:41,2/16/16 14:43,3,5,4,2,2,2,2,3,4,4,2
qf7G2up2hE5qScuK9,R_1jpkAiYHkVnkV25,2/16/16 15:10,2/16/16 15:13,3,2,2,4,4,4,4,4,2,4,2
Wxu8k7df9yj4j6573,R_2bP1kOT4iEfm7qF,2/16/16 17:55,2/16/16 17:56,2,4,4,2,2,1,1,1,4,4,1
8rkTWSowd8QnKYkrE,R_1CIKgIafUX3O3MO,2/16/16 19:20,2/16/16 19:21,5,2,2,2,2,1,1,4,4,2,2
m3PpL6WcoykRyE6pm,R_XvyKjkgc8qtz8fn,2/16/16 21:21,2/16/16 21:21,3,4,3,2,3,1,1,4,2,2,3
i8NjyEXvuMDxg5nGL,R_T1MK3lzjRQgZJpT,2/17/16 0:36,2/17/16 0:38,3,5,4,3,2,4,4,4,5,3,1
c7KXKPxqoFftvbiRo,R_10vIcRZwtRLkzjR,2/17/16 11:48,2/17/16 11:50,1,1,1,4,4,2,1,3,4,2,1
nyhJYddWvp3BB3QQw,R_3neZWkdnsG2SwbD,2/17/16 18:36,2/17/16 18:37,2,5,5,4,2,2,2,2,4,4,1
Go273GW8uicZrCdSD,R_2VmXtShZRokEGdN,2/17/16 21:00,2/17/16 21:01,5,5,5,3,3,1,1,2,2,2,2
WxM5cQu2SaeRc9e8S,R_3nemd2Vk2tiTWgP,2/18/16 0:41,2/18/16 0:42,2,3,3,2,1,1,1,1,5,3,1
Yq2tfTdFxrtJJrtiK,R_2S2MAmt0vufgHGI,2/18/16 11:00,2/18/16 11:01,1,3,3,2,2,1,1,3,5,3,5
nn9r35Fnm3dt4Mwac,R_baow2CvukYN5Wx3,2/18/16 12:01,2/18/16 12:02,3,1,1,5,5,3,2,3,4,5,1
MxvzFzxhex6KtCcJv,R_ag6K6bCPsAUMh0d,2/18/16 12:31,2/18/16 12:32,3,3,3,2,2,2,2,4,3,3,2
B2ZCZF78M52DaYdRe,R_qXjGbxcCKBG6Eut,2/18/16 15:04,2/18/16 15:05,2,5,5,1,1,1,1,1,1,1,4
qBC3M3KQn9vNCcPqE,R_3ffqu1UMopgQLuj,2/18/16 16:11,2/18/16 16:12,5,5,5,4,4,4,1,1,4,2,1
q4HPxfuFegecSLdDp,R_2E5cepc2cGImZP4,2/18/16 16:37,2/18/16 16:38,4,5,5,1,1,1,1,2,4,2,2
yZoeMgzGtaMeqaFnP,R_3QRuUrGk78zidlS,2/18/16 17:25,2/18/16 17:26,3,4,3,4,1,3,2,3,4,4,2
rwmxw6YBuepteyj3w,R_1eJcSNRMfOT9M7V,2/18/16 20:04,2/18/16 20:05,5,2,3,5,2,4,1,5,5,3,2
2EaSSMTDRTavgzxWY,R_2DOLX8gynFmyfs5,2/18/16 20:08,2/18/16 20:09,4,3,3,3,3,2,3,3,3,4,3
Ka7uwDPR6rD8fmrYq,R_1dodwjASghCR1wF,2/20/16 7:22,2/20/16 7:23,4,4,2,4,3,4,4,4,4,4,2
79cjqjh3rhGT85Z35,R_R2Iscy9TCNz6ugp,2/20/16 20:42,2/20/16 20:43,3,4,3,3,3,2,1,1,4,4,4
wtSLbuDzbcFjvfDEf,R_W8a6cDqkOy9NNu1,2/21/16 1:34,2/21/16 1:39,4,4,3,2,2,1,1,3,2,2,4
tyLjuwcbAbuazEQiG,R_xEjpnjaFsK5gazv,2/21/16 4:47,2/21/16 4:48,4,1,1,5,5,3,1,5,1,5,1
u469QjCESYfQpGHJC,R_2UbKudWfNVzuFqk,2/21/16 9:48,2/21/16 9:50,2,5,5,1,1,1,1,1,3,3,2
SoKJoq72nqsZeYAav,R_2QumDwaz35nVzVx,2/21/16 10:07,2/21/16 10:08,3,3,2,2,2,2,2,2,3,2,4
EsvySo9AtybDSYAs8,R_1n8Z2c2TVNZUMNa,2/21/16 11:05,2/21/16 11:06,3,5,5,4,2,4,4,4,2,3,2
JRcAvo7ghDwhDZL84,R_3RlK5Dc5yMN7edh,2/22/16 12:04,2/22/16 12:05,4,5,5,5,3,5,5,5,3,5,1
MrGZ6mh63fudmqYDf,R_yxv0uWI9DNxpjYl,2/22/16 15:47,2/22/16 15:50,4,3,3,2,2,2,2,4,2,2,3
Lcmknpky6pFHN3tQu,R_1H0itReEpBtncpE,2/23/16 8:58,2/23/16 8:58,2,4,4,2,2,2,2,2,2,3,2
5bASBojyYxYwsQXxd,R_tVZufHNRSON2PAd,2/23/16 14:27,2/23/16 14:29,3,6,3,3,2,2,1,3,4,3,3
YtSdEqNJzaQeCopij,R_25X8iMYIDGMGcH9,2/23/16 14:36,2/23/16 14:38,3,4,4,2,2,2,2,2,3,2,3
AqpMTK8pfa3ZDgCnX,R_10vdhTJDMgzMCvC,2/23/16 15:09,2/23/16 15:10,2,2,2,3,3,2,2,3,4,4,2
CLtNCJghz2jZqxeK9,R_pS5rp4pmdT3ZwK5,2/23/16 15:16,2/23/16 15:17,3,2,2,4,4,1,4,4,2,1,2
YGJd65DmqYzQazNgB,R_10PNRqscNnVrcYc,2/24/16 19:17,2/24/16 19:18,4,3,3,2,3,1,2,4,3,2,4
fhuLXXHqMQ5d8rDAn,R_2RPQnT0vkbOWwqQ,2/25/16 14:16,2/25/16 14:17,3,3,3,2,2,1,1,3,2,3,2
QmvwaSmSW9vegKCLm,R_2zvdzdbA8jfgw8q,2/26/16 3:07,2/26/16 3:12,4,5,3,1,2,2,2,3,5,3,5
u4ij2RsfoD2QLvBEb,R_8G7pAKXD06FCMPn,2/26/16 14:19,2/26/16 14:20,3,5,5,2,2,4,4,3,5,4,3
AwhQeCLDxEyvjTy3X,R_bQ2qbvuFEjSqyBz,2/27/16 22:27,2/27/16 22:28,3,3,3,2,2,4,2,3,4,4,1
43rAun7MweDZDbiR5,R_tQJUbX36oqgofBv,2/28/16 2:52,2/28/16 2:52,6,6,6,5,5,5,5,5,5,5,5
YM8venxunpNq9B2xq,R_2xyE7r9ptacN7Px,2/28/16 4:22,2/28/16 4:23,5,2,1,4,4,2,2,4,4,4,3
no24mX6RndnhrbK2G,R_1PSqAVKWwzjdJ4i,2/28/16 13:42,2/28/16 13:42,4,4,4,3,3,2,2,3,2,2,2
bgy5jAMHTgznc4ux5,R_2WxsGIHYpTx7ceV,2/28/16 14:04,2/28/16 14:05,2,5,5,2,2,2,2,2,2,3,5
Bpj4sGSnkFdkCCxNf,R_2WTkVWmAr4s3rwa,2/28/16 15:16,2/28/16 15:17,2,5,4,1,2,1,3,3,3,2,2
z3zTMtRhkLDei8wuP,R_3Rr8gcXEdGCQ4Wg,2/28/16 17:40,2/28/16 17:52,3,1,1,5,5,3,3,3,3,3,3
mMzbDo23w5dTrdSEk,R_vGluF2hX2YJnmTf,2/29/16 8:50,2/29/16 8:51,2,4,5,2,2,2,2,2,2,2,3
6A43r9ZERAEEDbZ8E,R_eR8nSXwuMP9Qe6l,2/29/16 9:50,2/29/16 9:51,3,4,4,2,2,3,4,4,2,4,1
XAgek4Txgcr6zNhkX,R_xhLxCeN0bBVpoVX,2/29/16 9:58,2/29/16 9:59,3,3,3,3,3,2,2,3,1,2,3
2HF6FqEczphrX2Bid,R_1nN2qcZFQevNYxo,2/29/16 13:35,2/29/16 13:37,3,3,3,2,2,4,2,3,4,2,4
XgZraYjGuDarzP3r7,R_1KefXbw47XGANp9,2/29/16 18:14,2/29/16 18:14,3,1,1,3,3,2,2,3,4,2,4
PqWLTxemD9c69esfF,R_3lPT2lZNw14GcJY,2/29/16 18:32,2/29/16 18:33,2,5,3,3,3,2,2,2,4,4,1
za7LyLyEjai9LEXHc,R_3oEBsKDkxOgW5V3,3/1/16 1:50,3/1/16 1:51,4,2,3,4,4,2,2,3,2,2,4
wZbv3M3dFcDzAi36e,R_OHAOGK1E7Ff3DWN,3/1/16 5:55,3/1/16 5:57,4,4,3,3,3,2,2,4,4,2,2
LpifnQpyoAC96S573,R_3JdTz3CcidCyJpb,3/1/16 9:56,3/1/16 9:57,3,5,5,2,2,3,3,3,5,5,1
pnco6QuR9SNdHu77x,R_vrhEA2eHvicSqEF,3/1/16 10:17,3/1/16 10:18,4,3,2,3,2,2,2,4,5,2,4
NLM74X7BawyDFny4v,R_3HIeHZoNwTjE1Wa,3/1/16 11:22,3/1/16 11:23,3,4,3,3,2,3,4,4,2,3,2
DyGdnuktRvCnzAwJi,R_3RsxQGrtJw5GwR8,3/1/16 11:42,3/1/16 11:43,5,2,1,4,3,4,3,3,3,3,1
xnnYT3aWf6eE4Q6y9,R_2WvQvbks16qgJsH,3/1/16 12:08,3/1/16 12:09,2,5,5,1,1,1,1,1,4,2,4
XCDm5KKWWLKo82ig8,R_3m1TSzm78ZhybDb,3/1/16 12:24,3/1/16 12:25,2,3,3,2,2,2,2,2,4,4,2
usYEPKufrajuNF47i,R_1NwQSNnWc6ssYKj,3/1/16 13:34,3/1/16 13:35,3,3,3,2,2,2,2,3,3,3,1
K3ZMCWFyEZDHrTyJs,R_1C9nWsacPPZ5Unf,3/1/16 16:30,3/1/16 16:30,3,2,2,3,3,4,2,3,4,3,2
8RWtRBznZwaQXtTjy,R_1kId6HPbhaU0xZC,3/1/16 17:36,3/1/16 17:37,3,5,5,2,2,2,2,2,2,2,2
7pCqtPS3WupS8an42,R_3dLnti4ReyrPr6r,3/1/16 18:29,3/1/16 18:31,2,5,4,2,2,1,1,2,4,4,3
HzyJf3ecpepyFffL9,R_1QXtkyilLKjVwsx,3/1/16 19:08,3/1/16 19:09,3,3,5,2,2,2,2,2,2,3,5
TYLSC3JKidf2ijqLa,R_12gJv6vOdtOezZ0,3/1/16 23:37,3/1/16 23:38,3,4,3,2,2,5,4,4,2,4,2
RMo96PZASrs7J7ShD,R_UEC8WViv3AhxHVf,3/2/16 5:06,3/2/16 5:07,3,2,2,4,2,2,3,3,4,4,2
zr6MbzW9igA4q3Bpk,R_2YogMTKIQhtdJi0,3/2/16 6:41,3/2/16 6:42,2,3,3,2,1,1,1,3,2,4,5
8AFCu9YsQmR2WDkrk,R_2WPb8tbpEtUArxW,3/2/16 10:30,3/2/16 10:31,3,4,4,2,1,1,1,3,2,4,2
FK4Hu9RZqcpEHNEsT,R_3PucgJ8he0ZMe8h,3/2/16 15:15,3/2/16 15:16,2,5,5,4,1,1,1,1,4,4,1
kzsfFDBTiA8Hm5zG8,R_1pzofRCZzwbhFUD,3/2/16 20:28,3/2/16 20:30,3,4,4,2,2,1,1,4,2,2,1
zBGtTaoT9NXXoiDCo,R_2AQO8S1fxA0LfFr,3/2/16 23:06,3/2/16 23:07,5,3,3,3,3,2,2,2,4,2,4
5FeAYE9ht2bBCK8Lk,R_1eVqKez31PHWeA6,3/4/16 1:54,3/4/16 1:55,3,3,3,2,2,2,2,2,2,2,4
ppT2KoixinaKc9zLD,R_25Bpczwl0MXJT5z,3/4/16 2:07,3/4/16 2:08,4,1,1,2,2,2,2,2,4,2,2
J2cummHqPe6hMCzQa,R_3soAtqvcp8BjsWS,3/4/16 8:50,3/4/16 8:51,3,5,5,2,2,3,3,3,1,4,4
TmShwF9bwp277DCmb,R_wRSJMbpjn1ylPEZ,3/4/16 12:50,3/4/16 12:51,4,5,5,1,1,2,2,2,4,2,4
XXfq2mbXgiwoevAzb,R_3phg1J3Tr9GFe9e,3/5/16 8:01,3/5/16 8:02,4,4,3,3,3,2,2,4,2,2,2
A4p7aBR98rJFBJaEL,R_1M0RYnuQNgwn5JM,3/5/16 10:06,3/5/16 10:10,4,5,5,2,2,2,1,2,4,3,4
BefdwBcYMvaHfGgwn,R_2CqXiPel8j7YxxS,3/5/16 10:11,3/5/16 10:13,3,5,5,1,1,1,1,2,3,2,3
oD7a6GFkarvp84PRt,R_Y64Q57OJltsZ8SB,3/5/16 10:53,3/5/16 10:54,2,4,3,2,2,2,2,2,4,2,2
trErkp8jGhzNAdEsC,R_3pfDb0UoSoDy0rD,3/5/16 23:30,3/5/16 23:31,3,5,4,2,1,1,1,3,3,2,4
fQW4FvoD7YJtY65Xj,R_27p6sy0uRi4S9ES,3/6/16 9:18,3/6/16 9:18,2,5,5,1,1,1,2,1,5,4,1
XjQr98bXFF7M3ndcy,R_ujCH4iPJ74O4w8x,3/6/16 10:05,3/6/16 10:07,3,1,2,4,4,3,2,3,5,3,4
5TdrRvXeviEEB2782,R_1Lj5L3EAczSJ2nS,3/6/16 10:08,3/6/16 10:09,3,3,3,3,2,2,2,2,4,3,2
ozofPi8aj5tyaT4eg,R_1hASwi8LvrA9LMj,3/6/16 10:31,3/6/16 10:32,3,3,3,3,2,5,1,2,3,5,2
gouSf322Wfbff39Ry,R_124u0GxLU7FHgot,3/6/16 10:54,3/6/16 10:54,2,5,4,2,2,2,2,2,4,3,2
zHSLFZ2ThvDD5HYzx,R_3RiJ5DqB4KSnf6V,3/6/16 11:22,3/6/16 11:23,3,5,4,1,2,2,2,4,2,4,2
nxAYw9WDEpZEActyW,R_31osCSY6V3GjA3l,3/6/16 13:54,3/6/16 13:55,2,2,2,4,4,2,2,2,4,4,5
sRnsZm6AXGfuFXaBL,R_31YOtomQpZnkoO0,3/6/16 14:15,3/6/16 14:15,5,1,1,3,3,3,5,5,1,5,1
EK5MKqzgwbKp4H3b3,R_3JFsNUpuZ0kuwdO,3/6/16 19:16,3/6/16 19:16,2,5,5,2,2,4,2,4,2,2,3
qgdrKE9jGNxfQQS8Z,R_3IQYg8AHHeNLVKU,3/6/16 21:37,3/6/16 21:38,2,5,4,1,1,1,1,1,1,1,2
7WepedTffMwj4827y,R_pFxX6Eq00KCDM0F,3/6/16 21:37,3/6/16 21:39,5,2,2,4,4,4,3,4,1,5,2
qXjSPCjisfJ95eEvt,R_1jVB3gMYpl2yIKu,3/6/16 22:12,3/6/16 22:13,5,1,1,4,4,2,2,4,2,2,1
rzgwdpdiJDSxYGZnA,R_1jkXOPPO952iazH,3/7/16 0:27,3/7/16 0:28,3,4,4,2,2,2,1,2,4,2,2
J4zEKsDmhBZRemQxx,R_bqkM5DXfOOhD7nb,3/7/16 8:16,3/7/16 8:16,2,5,5,2,2,2,2,4,4,2,2
L4YKzb3s57NWd6NAv,R_3NWZC2V5GwsxfM6,3/7/16 8:30,3/7/16 8:32,3,4,3,2,2,2,2,3,4,3,4
3Scv4Lh7AfesJPwhd,R_3p6brOZnsrHMnkd,3/7/16 11:17,3/7/16 11:19,2,4,2,2,2,2,1,2,4,2,2
eBK9ZbEMsYZr4qvN5,R_u4yDCEh3J4q0scp,3/7/16 12:41,3/7/16 12:46,3,4,3,3,3,3,3,3,5,3,3
3JMeDjgsrTwoAgacu,R_2Ubh2HEdrqzXLih,3/7/16 13:01,3/7/16 13:02,4,3,4,3,3,2,2,4,3,4,3
FK4Hu9RZqcpEHNEsT,R_1qeAAjBev8lsvAl,3/7/16 14:08,3/7/16 14:09,2,5,5,4,1,1,1,2,4,4,1
KM8aPtzLYKjy9Wd6r,R_xb9TpU2L6gmNqgN,3/7/16 15:02,3/7/16 15:04,4,4,3,3,2,3,2,4,2,3,3
BynvkWSwo2taRoXrX,R_2foB6wHZEvqanUo,3/7/16 15:41,3/7/16 15:42,3,3,3,3,3,4,2,4,4,4,1
Wsfum3agWhXQX8CXx,R_2z72FP2eVuv5YzG,3/7/16 17:45,3/7/16 17:46,2,5,5,3,3,2,2,3,3,4,2
wLGnCDxPy8oExZXAx,R_3Djfsfw7qfQzSyt,3/7/16 18:29,3/7/16 18:30,4,5,5,1,1,4,1,4,3,3,2
Zni6Soax4z3GW8Df2,R_2P1AmqBlVlUhT7B,3/7/16 18:51,3/7/16 18:51,5,2,2,2,4,3,2,4,2,3,3
Q8rabz9pmuEnvSaoN,R_2aIySaLugQy2wPn,3/7/16 21:21,3/7/16 21:21,1,4,4,2,2,2,2,2,2,2,2
XEFQSfMA4Np9cuPw7,R_2QFejixoM19v7nF,3/8/16 1:05,3/8/16 1:06,3,2,2,4,4,4,1,4,4,4,3
db7vBSrm7682SAdgu,R_2q1xYEa701xZ9gC,3/8/16 2:47,3/8/16 2:48,2,1,3,3,2,1,1,1,5,3,2
qTogdieYhMcvruSAz,R_1IhBvaVzQaTXnAx,3/8/16 9:41,3/8/16 9:41,4,5,4,3,2,4,3,4,4,2,1
z5RvEc5BoDxBiH3iy,R_SDbu85WmYGuN84x,3/8/16 9:46,3/8/16 9:46,3,4,4,1,1,4,2,4,2,4,4
KhryLZQ5TvoZre7Wq,R_3qWDRJnvmbBSikF,3/8/16 9:47,3/8/16 9:47,3,3,3,3,3,2,1,4,2,3,5
ZB5o3tfWNxeqjrk9A,R_3m2hGcq8GSQLCdX,3/8/16 10:07,3/8/16 10:08,3,3,3,2,3,2,3,3,2,3,3
SPtAAc7NJbzx6HGnv,R_Uc1dZmpUiQCMmS5,3/8/16 10:28,3/8/16 10:28,4,5,5,3,2,3,3,4,3,5,1
RiaXcXZD8EMe3D675,R_22Vr48ObkydhSnz,3/8/16 10:33,3/8/16 10:34,3,3,3,4,4,1,1,2,5,2,1
cLfpHqBMQyBqJmqZN,R_cXTQw39iHBIuBwd,3/8/16 10:49,3/8/16 10:50,3,5,4,2,2,1,1,2,4,2,3
WWN5DFC5NTCBf5mzm,R_PGoUMJC9oCnkElb,3/8/16 10:57,3/8/16 10:58,2,5,5,1,1,1,1,1,5,2,4
kErKZoNcgLDEQLh9h,R_2thgFUjVVWgFoyw,3/8/16 11:04,3/8/16 11:04,3,3,3,2,2,3,3,4,2,4,2
ANpFmJSXtcMZLsKb7,R_3CIxyZiSKTh1cQO,3/8/16 11:20,3/8/16 11:22,4,5,3,2,2,3,2,2,4,4,2
RRGteZxa2sZLjy7tF,R_3jdL5dpaCGZaLHD,3/8/16 11:29,3/8/16 11:30,2,4,3,2,2,2,2,3,2,3,3
MWawPm7rihwQdSfEc,R_56dYAWKeYS0Glxf,3/8/16 11:58,3/8/16 11:59,5,3,3,2,2,1,1,5,2,2,5
CpCwPvRPuXbcP6cz2,R_3GqBccCyKLta14z,3/8/16 12:39,3/8/16 12:39,3,4,2,3,2,1,3,4,2,2,4
wGaSKjvm4o49LhLrg,R_3IajlX0EbiCXXvA,3/8/16 12:55,3/8/16 12:56,3,2,2,2,2,2,2,2,5,4,1
4KFh6N3nNwuJAz9bM,R_2qlrLJ2vpD8DKA2,3/8/16 15:16,3/8/16 15:17,3,5,4,4,4,4,4,5,5,4,3
2EXM3D2Y33A7MB3o7,R_2vbPhyTdlBMpwUF,3/8/16 15:24,3/8/16 15:26,1,5,3,3,3,2,1,2,5,4,1
xPohAATJY45H5Nmhy,R_2sbCkyouAsd8BKk,3/8/16 16:19,3/8/16 16:19,2,1,1,3,3,3,2,3,4,3,2
yqvi6AycizdfMW67J,R_pxE2Og2VjZN807L,3/8/16 17:30,3/8/16 17:30,3,3,3,3,3,3,3,3,3,3,3
MLNEv85tZLCBBPkBJ,R_af4kHPW9BNpPLVL,3/8/16 17:31,3/8/16 17:32,3,1,1,4,3,4,3,4,4,4,3
GBR5Ti7uHcvswPGew,R_2YA5o4pitBPdFkg,3/8/16 19:07,3/8/16 19:09,3,5,3,1,1,2,1,2,4,4,2
smxtCGqQDdoxSBHnM,R_77h9xYfPFUE8LHH,3/9/16 4:04,3/9/16 4:05,2,4,4,2,2,2,2,2,3,2,2
JJ5EnHryZ8c2oGQCB,R_2X6WyJiTIw9m0TO,3/9/16 8:40,3/9/16 8:41,3,5,5,1,1,4,2,4,2,2,3
n57DFjukqiJmSHEDQ,R_2Yr00UJ9pa0NEFk,3/9/16 11:23,3/9/16 11:24,2,3,1,3,3,1,1,1,5,1,1
DjhvjjCAx4ASj2o8R,R_eUSVwfK4mNa2XTz,3/9/16 17:27,3/9/16 17:28,3,3,3,3,3,2,2,2,2,2,3
zsJhRyaRoAYMth497,R_x016jADOvSvqcRH,3/9/16 19:09,3/9/16 19:10,3,3,3,2,2,4,4,4,4,2,4
MLNEv85tZLCBBPkBJ,R_1gOq7LLLEefZ2GO,3/9/16 20:37,3/9/16 20:38,3,2,1,4,4,2,2,4,4,4,2
SJfYbZhnHTBay5yyX,R_2CBVmcujCuLll3R,3/9/16 20:50,3/9/16 20:51,2,5,4,2,1,2,2,2,4,2,2
L9LpdeQFGzvFngGYS,R_2xEvmX6tgp39UNV,3/9/16 21:39,3/9/16 21:40,3,5,3,2,2,2,1,3,2,4,4
xM423TEd4E3xpgssf,R_3Mb4AI6rzo2hNcC,3/9/16 21:55,3/9/16 21:56,2,4,5,2,2,2,2,2,4,4,2
qifugRh7PhFJPpCmX,R_21vO2c4wyG0zADc,3/10/16 0:34,3/10/16 0:35,2,5,5,2,2,2,3,2,4,4,4
cWth44wpGS4qP2Yub,R_3s55w65cZZN3KQS,3/10/16 1:22,3/10/16 1:23,5,4,3,3,2,3,2,2,2,3,1
cSZYtAZP8JYGj5YJm,R_3lFkq8Ve6WSlMga,3/10/16 9:50,3/10/16 9:50,3,4,4,2,2,2,2,4,4,2,2
TRHpDyjtFJ4Bf98dL,R_x5iwoaezElilYJz,3/10/16 9:52,3/10/16 9:52,2,5,1,2,1,2,1,2,3,2,2
7Rn59QWiRLMAcySTj,R_3k6YUCoGiaepO7H,3/10/16 9:57,3/10/16 9:58,3,4,4,2,1,1,1,2,3,2,2
vHTKf9kPuCEvY8Fb8,R_3IVIyAVjRqVSpxO,3/10/16 9:58,3/10/16 9:58,3,3,3,2,2,2,3,2,2,2,2
KgZMYh23LzaJQn9xQ,R_cOQOXr90aIcg1xf,3/10/16 9:59,3/10/16 10:00,2,2,3,3,3,2,3,2,4,4,2
oWHGBei3dY4SjyLpw,R_3ELvVSoJWFD3ilB,3/10/16 10:07,3/10/16 10:08,3,3,3,2,2,2,2,2,2,2,2
E3NcHz7W573rHYeyY,R_3RgVFThbDvBzh0o,3/10/16 10:07,3/10/16 10:08,3,5,3,2,2,5,4,5,5,2,1
XsvK4NT3Nh5wjR8En,R_1ITvIBHXnZtbxNM,3/10/16 10:07,3/10/16 10:08,3,5,4,1,1,1,1,1,5,2,1
ZNHoLFfThXn3dxpiE,R_w5BNbGgtdHGJx0R,3/10/16 10:08,3/10/16 10:08,2,5,5,1,1,2,1,2,5,5,1
NvQHkQfCNThsLfjfy,R_2XoOkpLYzangYlA,3/10/16 10:15,3/10/16 10:15,4,3,3,2,2,2,2,4,2,2,4
bWNtxPkGd8xNqDf2H,R_3qIHBtRDisqn3I2,3/10/16 10:17,3/10/16 10:18,2,5,4,1,1,2,1,2,3,3,2
8nBmn9tiXEPEpabJq,R_28UGJxLOLf2O6xI,3/10/16 10:20,3/10/16 10:21,5,1,1,4,4,4,3,4,3,1,4
Af6EwezJnoFReEpua,R_YVQ4Korqgei1Tl7,3/10/16 10:26,3/10/16 10:27,2,1,1,5,3,1,2,3,4,3,3
BNHYtgF3y6oE5Z7KQ,R_tPXEFuDG1JIE5pf,3/10/16 10:31,3/10/16 10:32,4,3,3,2,2,2,1,2,1,2,5
yYx4x55HrFLHFahMb,R_tRnW2kruiKnek5b,3/10/16 10:32,3/10/16 10:33,2,1,2,4,4,1,1,4,5,2,1
5eAZsM6sSPgLp2AGc,R_3kBUR7fu9Hi2ebi,3/10/16 10:43,3/10/16 10:43,3,4,3,3,3,4,3,4,4,2,3
QzQ7qWvZvRxG3DTiQ,R_paVAOs7oJBBfY7T,3/10/16 10:43,3/10/16 10:44,5,5,4,1,1,3,3,3,1,3,1
JzmhwhLyzer2RAe6v,R_oZ7jTavZmoLmVOh,3/10/16 10:52,3/10/16 10:53,2,3,3,2,2,2,2,4,4,4,1
MYDbh5c4b3ziMKmbt,R_1nVglSeRPmcrhxh,3/10/16 10:52,3/10/16 10:54,4,4,4,2,2,2,2,2,4,4,2
udy3MprwBQ5HiyMCT,R_2dhje36z3jUglwh,3/10/16 10:58,3/10/16 10:59,3,5,5,4,4,1,1,2,4,4,3
pJmeMQeWgG5t6W9qP,R_3TSGy8ZJOJhpQEF,3/10/16 11:13,3/10/16 11:14,2,5,5,2,1,2,1,1,5,4,1
QFG552t36L3EZH7Jy,R_UASvEwOrh3iH4FH,3/10/16 11:26,3/10/16 11:27,2,5,5,2,1,1,1,1,5,3,5
